IntervalRelMin,IntervalRelMax,NumberOfSamples,Dense,BatchSize,Epochs,TrainLoss,ValLoss,CustomMetrics_Small_rectangles_finalValue,CustomMetrics_Mid_rectangles_finalValue,CustomMetrics_Huge_rectangles_finalValue
0.05,0.25,10000,[32],50,500,0.00034203444374725217,0.0008874899358488619,0.0020198558922857046,0.0017759399488568304,0.0008860570378601551
0.05,0.25,10000,[64],50,500,0.00029004676616750663,0.0003313706256449221,0.0017066631698980927,0.001349886180832982,0.00029096394428052014
0.05,0.25,10000,[128],50,500,0.0004526416305452585,0.00029133149655535817,0.002801078138872981,0.0019121309742331505,0.00020331917039584368
0.05,0.25,10000,"[64, 64, 64]",50,800,0.00011510822514537722,0.00013900552585255357,0.001362954848445952,0.0006277981447055938,0.00019047663954552263
0.05,0.25,10000,"[64, 64, 64, 64]",50,800,0.00015294368495233357,0.0001358034642180428,0.001472215517424047,0.0006301305256783963,0.00016507106192875654
0.05,0.25,10000,"[64, 64, 64, 64, 64]",50,1100,0.00011848502617795019,0.0001469756243750453,0.0008945546578615904,0.0005043672281317413,0.00012677608174271882
0.05,0.25,10000,"[64, 64, 64, 64, 64, 64]",50,1400,0.00013692725042346862,0.0001278581185033545,0.0012764097191393375,0.0005306871607899666,0.00016075151506811383
0.05,0.25,10000,"[64, 64]",50,500,0.00012229772983118892,0.00011807159899035469,0.0006953845731914043,0.00038796529406681657,8.83009488461539e-05
0.05,0.25,10000,"[64, 128, 64]",50,900,0.00010070436110254376,0.0001158712329925038,0.0006422946462407707,0.00062430469552055,0.00013228227908257395
0.05,0.25,10000,"[256, 512, 1024, 512, 256]",50,1700,0.003005082253366709,0.0031054974533617496,0.013178681023418905,0.013511238619685171,0.003059752518311143
0.05,0.25,10000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00025946120149455965,0.00025259586982429044,0.0010553501779213548,0.000804425566457212,0.0002999439893756062
0.3,0.9,4000,[32],50,500,0.00023060121748130766,0.00016510178102180362,0.012675389647483827,0.011908369138836859,0.0020184649620205164
0.3,0.9,4000,[64],50,500,5.2458075515460216e-05,4.4880242057843134e-05,0.010891513898968695,0.009883806109428406,0.0014356601750478148
0.3,0.9,4000,[128],50,500,0.00028926561935804784,0.00016595718625467268,0.012961221858859062,0.011371894739568232,0.001914850203320384
0.3,0.9,4000,"[64, 64, 64]",50,800,1.81147079274524e-05,2.2325868485495448e-05,0.009998766705393793,0.00848686695098877,0.000840833003167063
0.3,0.9,4000,"[64, 64, 64, 64]",50,800,1.846684608608485e-05,1.689265263848938e-05,0.008898530155420303,0.00816607940942049,0.0008854391635395585
0.3,0.9,4000,"[64, 64, 64, 64, 64]",50,1100,1.7381587895215492e-05,2.34951530728722e-05,0.009587129577994348,0.008980740793049334,0.0009043017635121944
0.3,0.9,4000,"[64, 64, 64, 64, 64, 64]",50,1400,2.698515345400665e-05,5.431656973087229e-05,0.011907570995390415,0.009627902880311012,0.0010306230979040263
0.3,0.9,4000,"[64, 64]",50,500,2.936854070867412e-05,4.754083420266397e-05,0.012154556810855864,0.01027771458029747,0.0015095698181539776
0.3,0.9,4000,"[64, 128, 64]",50,900,2.354289608774707e-05,2.590194344520569e-05,0.011036805808544159,0.009639307856559752,0.0012368450406938793
0.3,0.9,4000,"[256, 512, 1024, 512, 256]",50,1700,8.212104148697108e-05,8.146632171701641e-05,0.010787406004965305,0.010587625205516815,0.0016289338236674664
0.3,0.9,4000,"[256, 512, 1024, 512, 512, 256]",50,2100,0.00011954592628171667,0.00013503772788681093,0.012989343143999577,0.012514116242527962,0.0023530686739832163
0.3,0.9,6000,[32],50,500,0.00012493955728132278,9.864063031272964e-05,0.011863542720675468,0.010841535404324532,0.0017712004482746124
0.3,0.9,6000,[64],50,500,4.15088543377351e-05,5.34107894054614e-05,0.00969445053488016,0.009436401538550855,0.0008783680386841298
0.3,0.9,6000,[128],50,500,4.059415732626803e-05,1.7391173969372176e-05,0.009782208129763605,0.009459140710532664,0.0008872097241692244
0.3,0.9,6000,"[64, 64, 64]",50,800,2.6999774490832348e-05,1.8791615730151527e-05,0.01125935185700655,0.009289368055760859,0.000779935042373836
0.3,0.9,6000,"[64, 64, 64, 64]",50,800,1.815842369978781e-05,1.873734436230734e-05,0.007835839875042439,0.007175684440881014,0.0007493074517697098
0.3,0.9,6000,"[64, 64, 64, 64, 64]",50,1100,1.254893868463114e-05,1.1655031812551895e-05,0.00792093388736248,0.007534556090831757,0.0008404458058066666
0.3,0.9,6000,"[64, 64, 64, 64, 64, 64]",50,1400,1.219036857946776e-05,9.751215657161085e-06,0.006949831265956163,0.006335817277431488,0.0006741780089214442
0.3,0.9,6000,"[64, 64]",50,500,1.4177340744936373e-05,2.518192559364252e-05,0.008869395591318606,0.008101311512291431,0.0006819023401476443
0.3,0.9,6000,"[64, 128, 64]",50,900,0.0001711854274617508,0.00017064977146219462,0.01345013827085495,0.013599897734820844,0.002951385686174035
0.3,0.9,6000,"[256, 512, 1024, 512, 256]",50,1700,3.777129677473568e-05,3.183820081176236e-05,0.009578948840498924,0.009497324004769324,0.0012588902609422805
0.3,0.9,6000,"[256, 512, 1024, 512, 512, 256]",50,2100,6.426854815799743e-05,9.001384751172735e-05,0.009603030048310757,0.00949022267013788,0.0011096141533926134
0.05,0.35,2500,[32],50,500,0.0007965271361172199,0.0010359440930187702,0.004917487967759371,0.004596610087901354,0.0007660086266696452
0.05,0.35,2500,[64],50,500,0.000268942880211398,0.00033781674574129283,0.0036776482593268156,0.0024637202732265,0.00026880580116994684
